"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GNA13",3055.67188099957,0.195254914025621,0.0447235800648948,4.36581583456204,1.2664915624529e-05,0.00260400790900021
"RASGRP1",137.861733212208,0.478692252244112,0.109360910449391,4.37717874034744,1.20225378685151e-05,0.00260400790900021
"NFATC2",371.382367113455,0.452211154681656,0.103726928650761,4.3596312024644,1.30281823034071e-05,0.00263848215972804
"SOX13",354.706169048704,-0.221087178937891,0.0509795452655708,-4.33678209144801,1.44583834706984e-05,0.00266127867273166
"SF3B5",1246.31932038683,-0.164331636808421,0.0378379927295257,-4.34303262287458,1.40529256735607e-05,0.00266127867273166
"USP36",516.668739938416,0.183997996464549,0.0424578246154477,4.33366518730221,1.46647150854542e-05,0.00266127867273166
"ATM",1895.17574532052,0.240969395483278,0.0553728913542864,4.35175750425437,1.35050584676254e-05,0.00266127867273166
"HOXB5",209.601107588875,-0.453430438172486,0.104680924961036,-4.33154787599805,1.48064742901824e-05,0.00266127867273166
"BTK",224.221822266707,0.328056266917633,0.075505401616692,4.34480527079415,1.39399265497179e-05,0.00266127867273166
"ARF1",6472.42505422475,-0.124734812257443,0.0287786313095524,-4.33428577320978,1.46234112020793e-05,0.00266127867273166
"USP12",1498.61977899255,0.150191499836907,0.0346155968177088,4.33883895250568,1.43237436327894e-05,0.00266127867273166
"MGST1",3190.9703237623,-0.309110946494175,0.0711759159878225,-4.34291490603451,1.40604604974352e-05,0.00266127867273166
"TNKS2",1294.36035946985,0.149427454693065,0.0345483919121284,4.32516381871331,1.52418550613573e-05,0.00270571152996613
"CEP164",248.334584707057,0.200292984780629,0.0463647839307897,4.3199378450596,1.56073153441241e-05,0.00273679984552635
"SLC25A25",518.396129545202,0.390388774457012,0.0909235217188234,4.29359495845607,1.758030723262e-05,0.0029732720486251
"ARHGAP9",226.784901922067,0.366822734522361,0.0853495516024903,4.29788707304302,1.72433969445533e-05,0.0029732720486251
"ICOS",55.2448616685009,0.711143487033505,0.165883466460626,4.28700642810778,1.81097054805882e-05,0.0029732720486251
"RAB8B",648.073244472918,0.228597911608119,0.0533679442328333,4.28343109134566,1.84033112405337e-05,0.0029732720486251
"ARL14",1307.06060969253,0.54769788705698,0.127517863664737,4.29506793257577,1.746398513258e-05,0.0029732720486251
"KBTBD2",802.161375663823,0.21366678320226,0.0498803013241228,4.28359046618124,1.83901274177266e-05,0.0029732720486251
"NABP1",769.042092840405,0.347225511773825,0.0809463537545066,4.28957569635425,1.79014792781751e-05,0.0029732720486251
"ZNF331",231.90351305262,0.543307485878947,0.126987753104729,4.27842427789768,1.88220997562152e-05,0.00300714413771798
"RASA2",732.712673662274,0.244482044221398,0.0571772754310898,4.27586033748755,1.90400563822704e-05,0.00300853813978754
"PRSS8",4026.55192004757,-0.211546961985558,0.0495837045808272,-4.26646140650327,1.98597831155218e-05,0.00310395458063139
"LPXN",381.413070213841,0.261526343828459,0.0614381804272479,4.2567397343114,2.07429593027966e-05,0.00320712915930013
"PLEKHG2",228.83787360542,0.386063489925779,0.0908359218974323,4.2501191363666,2.13656843779524e-05,0.00321656656657911
