"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEMA4A",191.518635186825,0.48313299956926,0.119933568780077,4.02833839169071,5.61724533353058e-05,0.0299149520929023
"SNX29",308.564922269888,0.287503668539417,0.0715325434009676,4.01920098000496,5.8395842515224e-05,0.0299883506973716
"MUC17",1694.80515127275,1.42450011435511,0.356372748938612,3.99721953656029,6.40908567381255e-05,0.0317780147943968
"PELO",245.558676841137,-0.268960951470065,0.0675289478015903,-3.98289859721065,6.80798085859348e-05,0.0325265010561507
"FBXO41",79.0270578526469,0.457708853676367,0.115437611865535,3.96498893453823,7.33993519458393e-05,0.0325265010561507
"CR1",191.056884165816,0.781469329274583,0.197292866977111,3.9609608864635,7.46487610301809e-05,0.0325265010561507
"RGS13",54.0192635840551,1.21170779968515,0.3056510384227,3.96435034521107,7.35960998169643e-05,0.0325265010561507
"MAP4K2",154.119711759406,0.427786831770847,0.109062715729555,3.92239299112666,8.76738357264918e-05,0.0333073370323032
"ENSG00000225889",36.6316778269963,0.665865310295553,0.169545463668267,3.92735550623983,8.58849866045026e-05,0.0333073370323032
"ENSG00000274322",97.9399623254963,0.640740068151534,0.162881715659553,3.93377528936873,8.36219650249011e-05,0.0333073370323032
"DOCK2",628.857748807657,0.412062212287554,0.10507941053662,3.92143627551041,8.80227280914892e-05,0.0333073370323032
"FGD3",179.91108573089,0.424578704063973,0.107842080379692,3.93704111205118,8.24924784030506e-05,0.0333073370323032
"RASSF2",515.301974442998,0.527535461585717,0.135482368655215,3.89375729714488,9.87034056097402e-05,0.036391186391345
"MYBL2",296.412289323866,0.50639256659175,0.130270137224083,3.88724981321454,0.000101386398176172,0.0364458754843793
"DNMT1",696.480655827622,0.26954309767385,0.0696877966693926,3.86786654990105,0.000109791718560239,0.038504759053114
"NCOA3",1302.53467430129,0.197022956674283,0.0512834536907382,3.84184259239672,0.000122114142202474,0.0418066488268898
"C16orf54",98.7632407317132,0.654254861152332,0.170928034013386,3.82766270570393,0.000129365866936133,0.0422761772880604
"PIK3CG",471.591813184987,0.453257435510403,0.118261614468535,3.83266740900953,0.000126761279885143,0.0422761772880604
"TACC3",355.24117856229,0.302972928294965,0.0794803289274234,3.81192343292416,0.000137889594024347,0.0436529301048982
"MOB3A",507.72219068106,0.31587328122913,0.0829327891830835,3.80878642019146,0.000139650517061362,0.0436529301048982
"CD38",336.023681107508,0.445216324135224,0.117158882904265,3.80010728250993,0.000144633459019357,0.0442486065370072
"EML6",126.487503503494,0.874596507527361,0.231340709610521,3.78055599898439,0.000156478517444316,0.0468750958819129
"CLDND1",903.953259931332,0.203225244180529,0.0539748156652137,3.76518644252648,0.000166424853617498,0.0480023840331006
"SLC9A7",101.620967512178,0.559287483648537,0.14857097226026,3.76444654793536,0.000166918367178179,0.0480023840331006
"PIK3AP1",506.248886887876,0.43463005745071,0.115928693587898,3.74911546054102,0.000177459375582131,0.0500331051273621
"ANXA4",4493.46011538443,-0.250037614092208,0.0669619483998842,-3.73402536913996,0.000188443500095227,0.0514137731934573
"CHST11",238.947579622138,0.351202227038518,0.0940903126852405,3.73260771503005,0.000189507613829421,0.0514137731934573
"TMEM131L",279.581727328002,0.514651988149738,0.138165357006245,3.72489891316587,0.000195393504132936,0.0520289480727311
"PACS1",334.107634652992,0.310270549338054,0.0834691770523238,3.71718711379599,0.000201453243232695,0.0526672033535076
"BTK",215.465859635229,0.403792075184129,0.108764755959598,3.71252683483353,0.000205200296175928,0.0526888403341725
"FANCA",248.709969938831,0.347941881964944,0.0938384709506521,3.70788098356717,0.000209000837474003,0.0527232112638367
"MAP4K1",134.221188435796,0.58862155623651,0.158962976030452,3.70288460203306,0.000213161857754957,0.052845764701009
"ENSG00000277701",236.018082622458,0.418980961880331,0.113296815686595,3.69808241600831,0.00021723436263191,0.0529425915302413
"RINL",88.8782662813615,0.434802254628214,0.117721782108345,3.69347326247612,0.000221211778931897,0.0530134028210292
"RABAC1",866.524320406209,-0.209315920504493,0.0567378529418426,-3.68917591434146,0.000224981621164963,0.053032962798869
"SEPTIN6",487.504060791182,0.389006284748726,0.10602214203732,3.66910418214145,0.000243401879745126,0.0550029384854816
"CEP250",465.995267376065,0.278087219261805,0.0756914847310332,3.67395645956712,0.000238823446340704,0.0550029384854816
"PGRMC1",2407.65015781637,-0.136522378627706,0.0372236539614336,-3.66762432213541,0.000244814525563031,0.0550029384854816
"CISD1",504.947304826648,-0.246148074090179,0.0672072777565754,-3.66252111834863,0.000249745156361478,0.0552474708203337
"ITPRIP",181.391592959004,0.418660699749984,0.114625881436471,3.65240986157232,0.000259790800091823,0.0565989684018231
"P2RY10",170.080552879979,0.607026344142138,0.166604106610714,3.64352569988272,0.00026892878638515,0.0577153286482399
"RARS1",1433.63486745961,-0.1738806322612,0.0478018421824769,-3.63752994283014,0.000275265200000301,0.0582064457471225
"P2RY8",151.863626262371,0.577746364827857,0.159250149706273,3.62791724776068,0.000285716800796374,0.0595408967920444
"REL",823.471231669512,0.353319709504731,0.097787515110292,3.61313720985988,0.000302514516463769,0.060171298916624
"RUBCN",419.783487710192,0.254501490212195,0.0704871642581201,3.61060758920908,0.000305480549475871,0.060171298916624
"ITGA4",1013.85916770851,0.353363109878789,0.0977808904603488,3.61382585303906,0.000301711750651649,0.060171298916624
"CLTA",1924.3801735086,-0.146662995312912,0.0405305026909656,-3.6185831799615,0.000296220293157402,0.060171298916624
